# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-10-31 07:34:21 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10126000 BEAR RIVER NEAR CORINNE, UT
# -----------------------------------------------------------------------------------
#
# Data provided for site 10126000
#            TS   parameter     statistic     Description
#        143472       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	143472_00060_00003	143472_00060_00003_cd
USGS	10126000	1950-04-10	2720	A
USGS	10126000	1950-04-11	3080	A
USGS	10126000	1950-04-12	3270	A
USGS	10126000	1950-04-13	3310	A
USGS	10126000	1950-04-14	3490	A
USGS	10126000	1950-04-15	3580	A
USGS	10126000	1950-04-16	3570	A
USGS	10126000	1950-04-17	3530	A
USGS	10126000	1950-04-18	3630	A
USGS	10126000	1950-04-19	3750	A
USGS	10126000	1950-04-20	4790	A
USGS	10126000	1950-04-21	5510	A
USGS	10126000	1950-04-22	5720	A
USGS	10126000	1950-04-23	5820	A
USGS	10126000	1950-04-24	5490	A
USGS	10126000	1950-04-25	5430	A
USGS	10126000	1950-04-26	4960	A
USGS	10126000	1950-04-27	5110	A
USGS	10126000	1950-04-28	5210	A
USGS	10126000	1950-04-29	4930	A
USGS	10126000	1950-04-30	4860	A
USGS	10126000	1950-05-01	4930	A
USGS	10126000	1950-05-02	4690	A
USGS	10126000	1950-05-03	4300	A
USGS	10126000	1950-05-04	4230	A
USGS	10126000	1950-05-05	4250	A
USGS	10126000	1950-05-06	4370	A
USGS	10126000	1950-05-07	4300	A
USGS	10126000	1950-05-08	4120	A
USGS	10126000	1950-05-09	3960	A
USGS	10126000	1950-05-10	4030	A
USGS	10126000	1950-05-11	4240	A
USGS	10126000	1950-05-12	4340	A
USGS	10126000	1950-05-13	4250	A
USGS	10126000	1950-05-14	4090	A
USGS	10126000	1950-05-15	4170	A
USGS	10126000	1950-05-16	4290	A
USGS	10126000	1950-05-17	4430	A
USGS	10126000	1950-05-18	4290	A
USGS	10126000	1950-05-19	4580	A
USGS	10126000	1950-05-20	5360	A
USGS	10126000	1950-05-21	5640	A
USGS	10126000	1950-05-22	5680	A
USGS	10126000	1950-05-23	5350	A
USGS	10126000	1950-05-24	4960	A
USGS	10126000	1950-05-25	4980	A
USGS	10126000	1950-05-26	5220	A
USGS	10126000	1950-05-27	5450	A
USGS	10126000	1950-05-28	5520	A
USGS	10126000	1950-05-29	5350	A
USGS	10126000	1950-05-30	5180	A
USGS	10126000	1950-05-31	5090	A
USGS	10126000	1950-06-01	4940	A
USGS	10126000	1950-06-02	4670	A
USGS	10126000	1950-06-03	4290	A
USGS	10126000	1950-06-04	4280	A
USGS	10126000	1950-06-05	4320	A
USGS	10126000	1950-06-06	4250	A
USGS	10126000	1950-06-07	3700	A
USGS	10126000	1950-06-08	3460	A
USGS	10126000	1950-06-09	4080	A
USGS	10126000	1950-06-10	4320	A
USGS	10126000	1950-06-11	4330	A
USGS	10126000	1950-06-12	4320	A
USGS	10126000	1950-06-13	4100	A
USGS	10126000	1950-06-14	3850	A
USGS	10126000	1950-06-15	3220	A
USGS	10126000	1950-06-16	3370	A
USGS	10126000	1950-06-17	3210	A
USGS	10126000	1950-06-18	2970	A
USGS	10126000	1950-06-19	2880	A
USGS	10126000	1950-06-20	3190	A
USGS	10126000	1950-06-21	3320	A
USGS	10126000	1950-06-22	3460	A
USGS	10126000	1950-06-23	3390	A
USGS	10126000	1950-06-24	3360	A
USGS	10126000	1950-06-25	3210	A
USGS	10126000	1950-06-26	3120	A
USGS	10126000	1950-06-27	3210	A
USGS	10126000	1950-06-28	3300	A
USGS	10126000	1950-06-29	3550	A
USGS	10126000	1950-06-30	3470	A
USGS	10126000	1950-07-01	3250	A
USGS	10126000	1950-07-02	2710	A
USGS	10126000	1950-07-03	1940	A
USGS	10126000	1950-07-04	2060	A
USGS	10126000	1950-07-05	2300	A
USGS	10126000	1950-07-06	2350	A
USGS	10126000	1950-07-07	2450	A
USGS	10126000	1950-07-08	2560	A
USGS	10126000	1950-07-09	2670	A
USGS	10126000	1950-07-10	2660	A
USGS	10126000	1950-07-11	2830	A
USGS	10126000	1950-07-12	2430	A
USGS	10126000	1950-07-13	2660	A
USGS	10126000	1950-07-14	2670	A
USGS	10126000	1950-07-15	2430	A
USGS	10126000	1950-07-16	2800	A
USGS	10126000	1950-07-17	3030	A
USGS	10126000	1950-07-18	2060	A
USGS	10126000	1950-07-19	1680	A
USGS	10126000	1950-07-20	1320	A
USGS	10126000	1950-07-21	1650	A
USGS	10126000	1950-07-22	1950	A
USGS	10126000	1950-07-23	1730	A
USGS	10126000	1950-07-24	1080	A
USGS	10126000	1950-07-25	1210	A
USGS	10126000	1950-07-26	1420	A
USGS	10126000	1950-07-27	1680	A
USGS	10126000	1950-07-28	1510	A
USGS	10126000	1950-07-29	1360	A
USGS	10126000	1950-07-30	1510	A
USGS	10126000	1950-07-31	755	A
USGS	10126000	1950-08-01	1170	A
USGS	10126000	1950-08-02	1170	A
USGS	10126000	1950-08-03	1440	A
USGS	10126000	1950-08-04	1320	A
USGS	10126000	1950-08-05	1230	A
USGS	10126000	1950-08-06	1560	A
USGS	10126000	1950-08-07	1700	A
USGS	10126000	1950-08-08	1510	A
USGS	10126000	1950-08-09	1740	A
USGS	10126000	1950-08-10	1680	A
USGS	10126000	1950-08-11	1880	A
USGS	10126000	1950-08-12	1930	A
USGS	10126000	1950-08-13	1640	A
USGS	10126000	1950-08-14	1160	A
USGS	10126000	1950-08-15	1280	A
USGS	10126000	1950-08-16	1520	A
USGS	10126000	1950-08-17	1650	A
USGS	10126000	1950-08-18	1470	A
USGS	10126000	1950-08-19	1550	A
USGS	10126000	1950-08-20	1560	A
USGS	10126000	1950-08-21	841	A
USGS	10126000	1950-08-22	1450	A
USGS	10126000	1950-08-23	1420	A
USGS	10126000	1950-08-24	1460	A
USGS	10126000	1950-08-25	1370	A
USGS	10126000	1950-08-26	1250	A
USGS	10126000	1950-08-27	1240	A
USGS	10126000	1950-08-28	680	A
USGS	10126000	1950-08-29	1480	A
USGS	10126000	1950-08-30	1590	A
USGS	10126000	1950-08-31	1300	A
USGS	10126000	1950-09-01	1580	A
USGS	10126000	1950-09-02	1330	A
USGS	10126000	1950-09-03	1290	A
USGS	10126000	1950-09-04	601	A
USGS	10126000	1950-09-05	766	A
USGS	10126000	1950-09-06	1640	A
USGS	10126000	1950-09-07	1640	A
USGS	10126000	1950-09-08	1190	A
USGS	10126000	1950-09-09	1190	A
USGS	10126000	1950-09-10	1150	A
USGS	10126000	1950-09-11	699	A
USGS	10126000	1950-09-12	1150	A
USGS	10126000	1950-09-13	1670	A
USGS	10126000	1950-09-14	2110	A
USGS	10126000	1950-09-15	2160	A
USGS	10126000	1950-09-16	1820	A
USGS	10126000	1950-09-17	1980	A
USGS	10126000	1950-09-18	2230	A
USGS	10126000	1950-09-19	2200	A
USGS	10126000	1950-09-20	2080	A
USGS	10126000	1950-09-21	2170	A
USGS	10126000	1950-09-22	2070	A
USGS	10126000	1950-09-23	1770	A
USGS	10126000	1950-09-24	1640	A
USGS	10126000	1950-09-25	2220	A
USGS	10126000	1950-09-26	2120	A
USGS	10126000	1950-09-27	2200	A
USGS	10126000	1950-09-28	2100	A
USGS	10126000	1950-09-29	2420	A
USGS	10126000	1950-09-30	2240	A
USGS	10126000	1950-10-01	2520	A
USGS	10126000	1950-10-02	2710	A
USGS	10126000	1950-10-03	2480	A
USGS	10126000	1950-10-04	2500	A
USGS	10126000	1950-10-05	2950	A
USGS	10126000	1950-10-06	2880	A
USGS	10126000	1950-10-07	2660	A
USGS	10126000	1950-10-08	2340	A
USGS	10126000	1950-10-09	2460	A
USGS	10126000	1950-10-10	2620	A
USGS	10126000	1950-10-11	2030	A
USGS	10126000	1950-10-12	2240	A
USGS	10126000	1950-10-13	2490	A
USGS	10126000	1950-10-14	2450	A
USGS	10126000	1950-10-15	2880	A
USGS	10126000	1950-10-16	2880	A
USGS	10126000	1950-10-17	2050	A
USGS	10126000	1950-10-18	1840	A
USGS	10126000	1950-10-19	1750	A
USGS	10126000	1950-10-20	2350	A
USGS	10126000	1950-10-21	2900	A
USGS	10126000	1950-10-22	2590	A
USGS	10126000	1950-10-23	2430	A
USGS	10126000	1950-10-24	2360	A
USGS	10126000	1950-10-25	2160	A
USGS	10126000	1950-10-26	2190	A
USGS	10126000	1950-10-27	2160	A
USGS	10126000	1950-10-28	1800	A
USGS	10126000	1950-10-29	1980	A
USGS	10126000	1950-10-30	2110	A
USGS	10126000	1950-10-31	2260	A
USGS	10126000	1950-11-01	2460	A
USGS	10126000	1950-11-02	3210	A
USGS	10126000	1950-11-03	3040	A
USGS	10126000	1950-11-04	2900	A
USGS	10126000	1950-11-05	2610	A
USGS	10126000	1950-11-06	2380	A
USGS	10126000	1950-11-07	2650	A
USGS	10126000	1950-11-08	2780	A
USGS	10126000	1950-11-09	2880	A
USGS	10126000	1950-11-10	2390	A
USGS	10126000	1950-11-11	2250	A
USGS	10126000	1950-11-12	1720	A
USGS	10126000	1950-11-13	1940	A
USGS	10126000	1950-11-14	2180	A
USGS	10126000	1950-11-15	2180	A
USGS	10126000	1950-11-16	2470	A
USGS	10126000	1950-11-17	2620	A
USGS	10126000	1950-11-18	2160	A
USGS	10126000	1950-11-19	1770	A
USGS	10126000	1950-11-20	2020	A
USGS	10126000	1950-11-21	2200	A
USGS	10126000	1950-11-22	2220	A
USGS	10126000	1950-11-23	3120	A
USGS	10126000	1950-11-24	3140	A
USGS	10126000	1950-11-25	3160	A
USGS	10126000	1950-11-26	3050	A
USGS	10126000	1950-11-27	2490	A
USGS	10126000	1950-11-28	2520	A
USGS	10126000	1950-11-29	2710	A
USGS	10126000	1950-11-30	2500	A
USGS	10126000	1950-12-01	2570	A
USGS	10126000	1950-12-02	2310	A
USGS	10126000	1950-12-03	2280	A
USGS	10126000	1950-12-04	2610	A
USGS	10126000	1950-12-05	3230	A
USGS	10126000	1950-12-06	3620	A
USGS	10126000	1950-12-07	3260	A
USGS	10126000	1950-12-08	3140	A
USGS	10126000	1950-12-09	2480	A
USGS	10126000	1950-12-10	2660	A
USGS	10126000	1950-12-11	2930	A
USGS	10126000	1950-12-12	3120	A
USGS	10126000	1950-12-13	3120	A
USGS	10126000	1950-12-14	2910	A
USGS	10126000	1950-12-15	2670	A
USGS	10126000	1950-12-16	2700	A
USGS	10126000	1950-12-17	2700	A
USGS	10126000	1950-12-18	2620	A
USGS	10126000	1950-12-19	2690	A
USGS	10126000	1950-12-20	2780	A
USGS	10126000	1950-12-21	2840	A
USGS	10126000	1950-12-22	2800	A
USGS	10126000	1950-12-23	2840	A
USGS	10126000	1950-12-24	2780	A
USGS	10126000	1950-12-25	2660	A
USGS	10126000	1950-12-26	2500	A
USGS	10126000	1950-12-27	2000	A
USGS	10126000	1950-12-28	1860	A
USGS	10126000	1950-12-29	2380	A
USGS	10126000	1950-12-30	2450	A
USGS	10126000	1950-12-31	2450	A
USGS	10126000	1951-01-01	2330	A
USGS	10126000	1951-01-02	2520	A
USGS	10126000	1951-01-03	2640	A
USGS	10126000	1951-01-04	2780	A
USGS	10126000	1951-01-05	2940	A
USGS	10126000	1951-01-06	2930	A
USGS	10126000	1951-01-07	2940	A
USGS	10126000	1951-01-08	2830	A
USGS	10126000	1951-01-09	2740	A
USGS	10126000	1951-01-10	1840	A
USGS	10126000	1951-01-11	2000	A
USGS	10126000	1951-01-12	2220	A
USGS	10126000	1951-01-13	2450	A
USGS	10126000	1951-01-14	2680	A
USGS	10126000	1951-01-15	2500	A
USGS	10126000	1951-01-16	2340	A
USGS	10126000	1951-01-17	2720	A
USGS	10126000	1951-01-18	2960	A
USGS	10126000	1951-01-19	2860	A
USGS	10126000	1951-01-20	2860	A
USGS	10126000	1951-01-21	2860	A
USGS	10126000	1951-01-22	2500	A
USGS	10126000	1951-01-23	2660	A
USGS	10126000	1951-01-24	2820	A
USGS	10126000	1951-01-25	2850	A
USGS	10126000	1951-01-26	3020	A
USGS	10126000	1951-01-27	3150	A
USGS	10126000	1951-01-28	3420	A
USGS	10126000	1951-01-29	2850	A
USGS	10126000	1951-01-30	2300	A
USGS	10126000	1951-01-31	2240	A
USGS	10126000	1951-02-01	1900	A
USGS	10126000	1951-02-02	1920	A
USGS	10126000	1951-02-03	1820	A
USGS	10126000	1951-02-04	1220	A
USGS	10126000	1951-02-05	1740	A
USGS	10126000	1951-02-06	2250	A
USGS	10126000	1951-02-07	2130	A
USGS	10126000	1951-02-08	4400	A
USGS	10126000	1951-02-09	5400	A
USGS	10126000	1951-02-10	6340	A
USGS	10126000	1951-02-11	6850	A
USGS	10126000	1951-02-12	6070	A
USGS	10126000	1951-02-13	5090	A
USGS	10126000	1951-02-14	4330	A
USGS	10126000	1951-02-15	4130	A
USGS	10126000	1951-02-16	3910	A
USGS	10126000	1951-02-17	3700	A
USGS	10126000	1951-02-18	3480	A
USGS	10126000	1951-02-19	3290	A
USGS	10126000	1951-02-20	3240	A
USGS	10126000	1951-02-21	3210	A
USGS	10126000	1951-02-22	3210	A
USGS	10126000	1951-02-23	3260	A
USGS	10126000	1951-02-24	3190	A
USGS	10126000	1951-02-25	3200	A
USGS	10126000	1951-02-26	3120	A
USGS	10126000	1951-02-27	2970	A
USGS	10126000	1951-02-28	2820	A
USGS	10126000	1951-03-01	3020	A
USGS	10126000	1951-03-02	3030	A
USGS	10126000	1951-03-03	3040	A
USGS	10126000	1951-03-04	3010	A
USGS	10126000	1951-03-05	3000	A
USGS	10126000	1951-03-06	2940	A
USGS	10126000	1951-03-07	2960	A
USGS	10126000	1951-03-08	2980	A
USGS	10126000	1951-03-09	3000	A
USGS	10126000	1951-03-10	2980	A
USGS	10126000	1951-03-11	2950	A
USGS	10126000	1951-03-12	2880	A
USGS	10126000	1951-03-13	2980	A
USGS	10126000	1951-03-14	2980	A
USGS	10126000	1951-03-15	2940	A
USGS	10126000	1951-03-16	2780	A
USGS	10126000	1951-03-17	2760	A
USGS	10126000	1951-03-18	2860	A
USGS	10126000	1951-03-19	2890	A
USGS	10126000	1951-03-20	3330	A
USGS	10126000	1951-03-21	3440	A
USGS	10126000	1951-03-22	3400	A
USGS	10126000	1951-03-23	3350	A
USGS	10126000	1951-03-24	3180	A
USGS	10126000	1951-03-25	2960	A
USGS	10126000	1951-03-26	2880	A
USGS	10126000	1951-03-27	3320	A
USGS	10126000	1951-03-28	3370	A
USGS	10126000	1951-03-29	3090	A
USGS	10126000	1951-03-30	3360	A
USGS	10126000	1951-03-31	3260	A
USGS	10126000	1951-04-01	3190	A
USGS	10126000	1951-04-02	3290	A
USGS	10126000	1951-04-03	3380	A
USGS	10126000	1951-04-04	3230	A
USGS	10126000	1951-04-05	3280	A
USGS	10126000	1951-04-06	3520	A
USGS	10126000	1951-04-07	3420	A
USGS	10126000	1951-04-08	3140	A
USGS	10126000	1951-04-09	3170	A
USGS	10126000	1951-04-10	3620	A
USGS	10126000	1951-04-11	3790	A
USGS	10126000	1951-04-12	3830	A
USGS	10126000	1951-04-13	3860	A
USGS	10126000	1951-04-14	4260	A
USGS	10126000	1951-04-15	4030	A
USGS	10126000	1951-04-16	4060	A
USGS	10126000	1951-04-17	4120	A
USGS	10126000	1951-04-18	4140	A
USGS	10126000	1951-04-19	4150	A
USGS	10126000	1951-04-20	4150	A
USGS	10126000	1951-04-21	4160	A
USGS	10126000	1951-04-22	4290	A
USGS	10126000	1951-04-23	4400	A
USGS	10126000	1951-04-24	4190	A
USGS	10126000	1951-04-25	4120	A
USGS	10126000	1951-04-26	4010	A
USGS	10126000	1951-04-27	3890	A
USGS	10126000	1951-04-28	3840	A
USGS	10126000	1951-04-29	3880	A
USGS	10126000	1951-04-30	3870	A
USGS	10126000	1951-05-01	4030	A
USGS	10126000	1951-05-02	4340	A
USGS	10126000	1951-05-03	4580	A
USGS	10126000	1951-05-04	4760	A
USGS	10126000	1951-05-05	4540	A
USGS	10126000	1951-05-06	4160	A
USGS	10126000	1951-05-07	3970	A
USGS	10126000	1951-05-08	3680	A
USGS	10126000	1951-05-09	3510	A
USGS	10126000	1951-05-10	3200	A
USGS	10126000	1951-05-11	3260	A
USGS	10126000	1951-05-12	3400	A
USGS	10126000	1951-05-13	3670	A
USGS	10126000	1951-05-14	3830	A
USGS	10126000	1951-05-15	3880	A
USGS	10126000	1951-05-16	4000	A
USGS	10126000	1951-05-17	4000	A
USGS	10126000	1951-05-18	3980	A
USGS	10126000	1951-05-19	3960	A
USGS	10126000	1951-05-20	3940	A
USGS	10126000	1951-05-21	3960	A
USGS	10126000	1951-05-22	3960	A
USGS	10126000	1951-05-23	3960	A
USGS	10126000	1951-05-24	3940	A
USGS	10126000	1951-05-25	3930	A
USGS	10126000	1951-05-26	3920	A
USGS	10126000	1951-05-27	3920	A
USGS	10126000	1951-05-28	3910	A
USGS	10126000	1951-05-29	3910	A
USGS	10126000	1951-05-30	4220	A
USGS	10126000	1951-05-31	4270	A
USGS	10126000	1951-06-01	3960	A
USGS	10126000	1951-06-02	3440	A
USGS	10126000	1951-06-03	3030	A
USGS	10126000	1951-06-04	2940	A
USGS	10126000	1951-06-05	2640	A
USGS	10126000	1951-06-06	1990	A
USGS	10126000	1951-06-07	1470	A
USGS	10126000	1951-06-08	1100	A
USGS	10126000	1951-06-09	797	A
USGS	10126000	1951-06-10	1090	A
USGS	10126000	1951-06-11	908	A
USGS	10126000	1951-06-12	1180	A
USGS	10126000	1951-06-13	1340	A
USGS	10126000	1951-06-14	576	A
USGS	10126000	1951-06-15	1790	A
USGS	10126000	1951-06-16	2040	A
USGS	10126000	1951-06-17	1790	A
USGS	10126000	1951-06-18	1130	A
USGS	10126000	1951-06-19	1410	A
USGS	10126000	1951-06-20	1410	A
USGS	10126000	1951-06-21	1220	A
USGS	10126000	1951-06-22	957	A
USGS	10126000	1951-06-23	1450	A
USGS	10126000	1951-06-24	1110	A
USGS	10126000	1951-06-25	1260	A
USGS	10126000	1951-06-26	1660	A
USGS	10126000	1951-06-27	1510	A
USGS	10126000	1951-06-28	993	A
USGS	10126000	1951-06-29	1790	A
USGS	10126000	1951-06-30	2220	A
USGS	10126000	1951-07-01	2030	A
USGS	10126000	1951-07-02	652	A
USGS	10126000	1951-07-03	1220	A
USGS	10126000	1951-07-04	1080	A
USGS	10126000	1951-07-05	301	A
USGS	10126000	1951-07-06	302	A
USGS	10126000	1951-07-07	458	A
USGS	10126000	1951-07-08	253	A
